0,000	0,000	56,502	0,000
0,000	1,000	54,131	0,029
0,000	2,000	56,591	0,118
0,000	0,000	54,596	0,196
0,000	1,000	57,811	0,294
0,000	2,000	58,649	0,328
0,000	0,000	54,294	0,333
0,000	1,000	58,703	0,406
0,000	2,000	57,183	0,459
0,000	0,000	57,774	0,536
0,000	1,000	57,684	0,541
0,000	2,000	56,887	0,612
0,000	0,000	58,302	0,633
0,000	1,000	56,247	0,688
0,000	2,000	57,151	0,735
0,000	0,000	54,208	0,745
0,000	1,000	58,352	0,758
0,000	2,000	56,634	0,782
0,000	0,000	58,251	0,823
0,000	1,000	56,966	0,827
0,000	2,000	55,383	0,901
