0,000	0,000	118,883	0,000
0,000	1,000	121,428	0,029
0,000	2,000	119,496	0,109
0,000	0,000	119,531	0,115
0,000	1,000	121,062	0,117
0,000	2,000	119,595	0,200
0,000	0,000	120,311	0,299
0,000	1,000	119,762	0,379
0,000	2,000	120,144	0,411
0,000	0,000	120,097	0,455
0,000	1,000	119,684	0,534
0,000	2,000	118,960	0,544
0,000	0,000	119,881	0,629
0,000	1,000	118,943	0,639
0,000	2,000	119,555	0,731
0,000	0,000	120,980	0,806
0,000	1,000	118,640	0,864
0,000	2,000	119,225	0,884
0,000	0,000	121,117	0,914
0,000	1,000	120,521	0,982
0,000	2,000	120,771	1,023
