0,000	0,000	55,352	0,000
0,000	1,000	25,623	0,019
0,000	2,000	53,637	0,054
0,000	0,000	55,315	0,113
0,000	1,000	25,657	0,137
0,000	2,000	54,233	0,203
0,000	0,000	55,699	0,280
0,000	1,000	23,125	0,353
0,000	2,000	54,012	0,356
0,000	0,000	55,420	0,410
0,000	1,000	20,654	0,466
0,000	2,000	54,365	0,537
0,000	0,000	57,012	0,627
0,000	1,000	19,581	0,656
0,000	2,000	54,135	0,738
0,000	0,000	57,014	0,741
0,000	1,000	18,300	0,799
0,000	2,000	55,412	0,867
0,000	0,000	57,005	0,878
0,000	1,000	17,394	0,879
0,000	2,000	55,297	0,967
0,000	0,000	57,017	1,009
0,000	1,000	18,303	1,024
0,000	2,000	54,402	1,073
0,000	0,000	56,254	1,136
0,000	1,000	17,158	1,163
0,000	2,000	53,653	1,176
0,000	0,000	56,564	1,274
0,000	1,000	17,517	1,307
0,000	2,000	53,714	1,334
0,000	0,000	56,604	1,416
0,000	1,000	16,488	1,456
0,000	2,000	55,412	1,470
0,000	0,000	56,379	1,504
0,000	1,000	15,671	1,544
0,000	2,000	53,954	1,639
0,000	0,000	57,733	1,717
0,000	1,000	14,412	1,737
0,000	2,000	55,417	1,827
0,000	0,000	58,459	1,841
0,000	1,000	8,631	1,917
0,000	2,000	57,475	1,968
0,000	0,000	60,763	2,024
0,000	1,000	2,000	2,111
0,000	2,000	58,139	2,201
0,000	0,000	61,790	2,243
0,000	1,000	4,289	2,316
0,000	2,000	58,724	2,317
0,000	0,000	60,204	2,383
0,000	1,000	1,860	2,472
0,000	2,000	57,879	2,502
0,000	0,000	59,054	2,523
0,000	1,000	4,371	2,618
0,000	2,000	55,119	2,675
0,000	0,000	60,502	2,746
0,000	1,000	10,357	2,825
0,000	2,000	57,654	2,897
0,000	0,000	58,701	2,942
0,000	1,000	4,121	2,987
0,000	2,000	54,929	3,082
0,000	0,000	61,822	3,095
0,000	1,000	11,118	3,101
0,000	2,000	58,672	3,157
0,000	0,000	58,443	3,166
0,000	1,000	2,661	3,264
0,000	2,000	55,012	3,292
0,000	0,000	60,828	3,357
0,000	1,000	12,440	3,405
0,000	2,000	58,918	3,482
0,000	0,000	58,121	3,505
0,000	1,000	26,369	3,576
0,000	2,000	55,550	3,650
0,000	0,000	56,658	3,743
0,000	1,000	11,378	3,788
0,000	2,000	53,890	3,863
0,000	0,000	58,664	3,952
0,000	1,000	28,135	4,004
0,000	2,000	56,422	4,007
0,000	0,000	56,606	4,045
0,000	1,000	11,241	4,121
0,000	2,000	54,915	4,192
0,000	0,000	57,280	4,287
0,000	1,000	29,931	4,386
0,000	2,000	56,866	4,441
0,000	0,000	55,462	4,496
0,000	1,000	10,333	4,535
0,000	2,000	54,200	4,541
0,000	0,000	57,362	4,566
0,000	1,000	31,110	4,644
0,000	2,000	57,924	4,742
0,000	0,000	55,793	4,797
0,000	1,000	9,235	4,840
0,000	2,000	55,521	4,916
0,000	0,000	58,019	4,959
0,000	1,000	31,056	4,982
0,000	2,000	59,326	5,041
0,000	0,000	55,211	5,073
0,000	1,000	8,709	5,093
0,000	2,000	56,200	5,112
0,000	0,000	57,430	5,130
